placekey,Median_Household_Income,Total_Population,case_rate,raw_visit_counts
1079.0,24497.0,114473.8,7.24,37481.0
806.0,64237.0,50335.063829787236,39.83,24556.0
961.0,41607.0,140386.96875,7.41,25881.0
205.0,6278.0,188047.5,0.0,8509.0
148.0,6830.0,175644.0,22.84,4096.0
100.0,3260.0,200156.33333333334,0.0,2829.0
284.0,2149.0,243571.0,14.3,57432.0
460.0,49267.0,74524.23333333334,19.25,13112.0
473.0,25029.0,152838.0588235294,20.99,12887.0
806.0,37793.0,137434.125,10.05,16552.0
655.0,24644.0,116340.9,38.87,14127.0
902.0,14270.0,95838.72727272728,20.82,20659.0
570.0,24160.0,145088.13636363635,3.3,12939.0
858.0,37707.0,143567.0294117647,19.64,22406.0
566.0,11428.0,141507.5,6.4,15338.0
823.0,10184.0,146624.57142857142,8.48,18819.0
872.0,30875.0,118559.14814814815,27.57,33105.0
468.0,30798.0,145093.41666666666,6.54,18600.0
837.0,18458.0,157571.23529411765,16.18,21873.0
485.0,54108.0,142294.1219512195,14.57,16953.0
484.0,46506.0,143730.0606060606,6.85,15265.0
540.0,77550.0,109605.14285714286,6.55,20308.0
194.0,37874.0,73504.95238095238,7.76,10954.0
486.0,51255.0,78803.40625,15.77,21799.0
467.0,42322.0,159464.5625,16.89,12623.0
501.0,59201.0,51005.76315789474,28.12,24685.0
137.0,24836.0,59235.92857142857,20.5,7316.0
268.0,60524.0,59557.8,18.64,13115.0
285.0,54573.0,55634.54838709677,33.31,14749.0
307.0,46702.0,76533.74074074074,23.92,14351.0
212.0,40232.0,65039.083333333336,37.88,11506.0
274.0,33567.0,44390.608695652176,14.19,13350.0
766.0,23894.0,103623.4705882353,11.01,21783.0
114.0,21710.0,61325.066666666666,14.43,8035.0
348.0,18291.0,98528.66666666667,13.12,12520.0
120.0,26295.0,47037.92307692308,29.43,10560.0
206.0,45458.0,54731.0,31.84,10073.0
36.0,11358.0,114597.6,0.0,2113.0
545.0,24553.0,145586.30434782608,10.75,23409.0
23.0,9850.0,124464.0,31.82,1199.0
255.0,11449.0,134961.2,21.7,5807.0
413.0,44589.0,124173.5142857143,6.83,20780.0
32.0,10083.0,192102.75,10.7,1552.0
37.0,1783.0,89107.0,17.95,1741.0
29.0,37321.0,86778.41379310345,28.27,2484.0
4.0,14861.0,86501.81818181818,32.46,520.0
12.0,27604.0,82009.1875,18.86,752.0
12.0,30536.0,79201.77272727272,16.71,2654.0
25.0,37407.0,86598.125,16.33,5152.0
28.0,53623.0,92248.89743589744,13.26,8757.0
9.0,15794.0,108193.5,6.71,2404.0
14.0,27446.0,107681.75,10.06,9916.0
22.0,33011.0,109713.36842105263,9.11,6850.0
11.0,22444.0,88546.85,25.6,463.0
24.0,58347.0,104671.93939393939,16.38,3995.0
45.0,79078.0,96411.17647058824,18.37,6191.0
36.0,38865.0,37728.47826086957,63.34,2713.0
18.0,57045.0,33725.425,45.21,2000.0
15.0,62077.0,38982.61224489796,40.67,6185.0
8.0,28247.0,31837.571428571428,29.08,3276.0
17.0,33608.0,32120.821428571428,33.42,2840.0
18.0,86264.0,35585.236363636366,26.83,27260.0
20.0,61971.0,37627.17391304348,24.42,7664.0
18.0,74022.0,42246.166666666664,42.3,12933.0
